,hash,bdpsnr,paras
0,p032032032,2.998008265624915,0.051167538698158925
1,p032032064,2.0381018025771134,0.057318893354814875
2,p032032096,1.9416504855558212,0.0638683134290906
3,p032032144,1.9288859818783275,0.07443881619854134
4,p032032256,1.9014076713051138,0.10258639506476629
5,p032072032,2.4873432102631554,0.06455559825169979
6,p032072064,1.8798021167941121,0.07692672505866509
7,p032072096,1.7790826027491218,0.08969591728325017
8,p032072144,1.7556383484109037,0.10959607827816492
9,p032072256,1.7187223851362154,0.15951285967047257
10,p032128032,2.175388921639666,0.08434380334790897
11,p032128064,1.7672960134707578,0.10542261116530735
12,p032128096,1.6952614516609452,0.12689948440032553
13,p032128144,1.6871932134690533,0.15986116691088992
14,p032128256,1.6511824332756606,0.24025483183971336
15,p032168032,2.1665169556642736,0.09922460821752409
16,p032168064,1.7399262513478808,0.1265231881852318
17,p032168096,1.6586989560196905,0.15421983357055932
18,p032168144,1.6537659183187277,0.19651117430658774
19,p032168256,1.6214776749158963,0.29867404176149387
20,p032256032,2.093246733611858,0.13415173872758623
21,p032256064,1.7032596838683098,0.1751338174259745
22,p032256096,1.617219747135939,0.21651396154198257
23,p032256144,1.6119535068386615,0.2793305503740318
24,p032256256,1.5796382380025304,0.42938566338631995
25,p088032032,1.772967129815083,0.1310387427663564
26,p088032064,0.31082160442305357,0.13719009742301233
27,p088032096,0.19345924614833152,0.14373951749728808
28,p088032144,0.16207996729028323,0.15431002026673882
29,p088032256,0.1379318720489955,0.18245759913296375
30,p088072032,0.9861521789056398,0.15531140358293863
31,p088072064,0.12570041979875077,0.1676825303899039
32,p088072096,0.05196040835309018,0.180451722614489
33,p088072144,0.07268498870977182,0.20035188360940376
34,p088072256,0.058663651752322334,0.2502686650017114
35,p088128032,0.514646347286438,0.1903380504474057
36,p088128064,-0.009623528438272093,0.21141685826480408
37,p088128096,-0.04344154775285215,0.23289373149982226
38,p088128144,0.0061369736612669635,0.26585541401038665
39,p088128256,-0.00484807426469329,0.3462490789392101
40,p088168032,0.4973319458494881,0.21610345658006216
41,p088168064,-0.040176549033173116,0.2434020365477699
42,p088168096,-0.07150868781293965,0.2710986819330974
43,p088168144,-0.014430239524155997,0.3133900226691258
44,p088168256,-0.009990038332079282,0.41555289012403196
45,p088256032,0.4140117188684936,0.2749767098688153
46,p088256064,-0.07873781157379808,0.31595878856720355
47,p088256096,-0.11007024228574296,0.35733893268321165
48,p088256144,-0.050290429911410375,0.42015552151526087
49,p088256256,-0.044290077758152364,0.570210634527549
50,p128032032,1.7430894536919197,0.188835975473106
51,p128032064,0.29262248989673356,0.19498733012976194
52,p128032096,0.2065326923182995,0.2015367502040377
53,p128032144,0.20777503704314135,0.21210725297348842
54,p128032256,0.194322854878199,0.24025483183971336
55,p128072032,0.9672826855738528,0.2208833514775749
56,p128072064,0.10973405677857798,0.23325447828454018
57,p128072096,0.06309161083005875,0.24602367050912527
58,p128072144,0.12119814883648772,0.26592383150404003
59,p128072256,0.11853713406914777,0.3158406128963477
60,p128128032,0.5487395738331301,0.26679459960508334
61,p128128064,-0.015198080790913783,0.28787340742248174
62,p128128096,-0.026160716903718628,0.30935028065749987
63,p128128144,0.05913826761988006,0.3423119631680643
64,p128128256,0.058749943700759394,0.4227056280968877
65,p128168032,0.5420735022150114,0.30033472092562646
66,p128168064,-0.04500059729065545,0.3276333008933342
67,p128168096,-0.04779474407323854,0.3553299462786617
68,p128168144,0.04891645796337137,0.39762128701469013
69,p128168256,0.06778223768809087,0.4997841544695963
70,p128256032,0.45744166228915784,0.3763123476277303
71,p128256064,-0.08395899895187328,0.4172944263261186
72,p128256096,-0.08491161625756455,0.4586745704421267
73,p128256144,0.017866434210396742,0.5214911592741759
74,p128256256,0.038445048048806364,0.671546272286464
75,p192032032,1.692887107625767,0.2826052604111697
76,p192032064,0.26053137889620726,0.28875661506782563
77,p192032096,0.17822905722025623,0.2953060351421014
78,p192032144,0.1792024275833333,0.3058765379115521
79,p192032256,0.16794710296299795,0.33402411677777705
80,p192072032,0.9010557618458832,0.3270921807162573
81,p192072064,0.07608674916473215,0.33946330752322257
82,p192072096,0.028415805501490393,0.3522324997478077
83,p192072144,0.08169560378485684,0.37213266074272244
84,p192072256,0.07946374163595987,0.4220494421350301
85,p192128032,0.4952529034731839,0.3904187908646319
86,p192128064,-0.04176896667854179,0.4114975986820303
87,p192128096,-0.05656101766328967,0.43297447191704846
88,p192128144,0.02294543445260519,0.4659361544276128
89,p192128256,0.023016865876369683,0.5463298193564363
90,p192168032,0.487345151585344,0.43639845648579373
91,p192168064,-0.07146692900058665,0.46369703645350147
92,p192168096,-0.0782755245753106,0.491393681838829
93,p192168144,0.014927444055992981,0.5336850225748574
94,p192168256,0.03334568820111585,0.6358478900297636
95,p192256032,0.40095415144487223,0.5397430806492587
96,p192256064,-0.1109557700396761,0.580725159347647
97,p192256096,-0.1164138043353715,0.622105303463655
98,p192256144,-0.018467013718257114,0.6849218922957043
99,p192256256,0.0010235127841509005,0.8349770053079925
100,p256032032,1.6841883509340887,0.3779668070197126
101,p256032064,0.25834980586303374,0.38411816167636853
102,p256032096,0.17575887414981037,0.39066758175064425
103,p256032144,0.17542140102569972,0.401238084520095
104,p256032256,0.16470645700649955,0.42938566338631995
105,p256072032,0.8894482827516195,0.4348932716254189
106,p256072064,0.07435423585729688,0.4472643984323842
107,p256072096,0.028175981164028127,0.46003359065696925
108,p256072144,0.0823540014816788,0.479933751651884
109,p256072256,0.08081959539568784,0.5298505330441917
110,p256128032,0.49953665476240683,0.5156352437946596
111,p256128064,-0.03956794009159954,0.536714051612058
112,p256128096,-0.055607519126982835,0.5581909248470762
113,p256128144,0.02375514942635636,0.5911526073576406
114,p256128256,0.023748414278750123,0.671546272286464
115,p256168032,0.4941255506752858,0.5740544537164401
116,p256168064,-0.06902038964443409,0.6013530336841479
117,p256168096,-0.07786073828313486,0.6290496790694754
118,p256168144,0.01502663098850394,0.6713410198055039
119,p256168256,0.033078264501364564,0.77350388726041
120,p256256032,0.407586683501565,0.7047660753412662
121,p256256064,-0.10884936161082057,0.7457481540396546
122,p256256096,-0.11644373620777175,0.7871282981556627
123,p256256144,-0.018996919909233446,0.8499448869877119
124,p256256256,0.0,1.0
